date,version,asset,downloads
2023-12-25,v1.4.16,obsidian-1.4.16.asar.gz,2623
2023-12-25,v1.4.16,obsidian-1.4.16.tar.gz,72
2023-12-25,v1.4.16,Obsidian-1.4.16-arm64.AppImage,67
2023-12-25,v1.4.16,Obsidian-1.4.16-universal.dmg,4166
2023-12-25,v1.4.16,obsidian_1.4.16_amd64.deb,1080
2023-12-25,v1.4.16,obsidian_1.4.16_amd64.snap,156
2023-12-25,v1.4.16,Obsidian-1.4.14-universal.dmg,33
2023-12-25,v1.4.16,Obsidian-1.4.16.AppImage,977
2023-12-25,v1.4.16,Obsidian.1.4.16-arm64.exe,68
2023-12-25,v1.4.16,Obsidian.1.4.16.exe,8019
2023-12-25,v1.4.16,Obsidian.1.4.16-32.exe,79
2023-12-25,v1.4.16,Obsidian.1.4.16-allusers.exe,17
2023-12-25,v1.4.14,Obsidian.1.4.14-32.exe,2
2023-12-25,v1.4.14,Obsidian.1.4.14-allusers.exe,1
2023-12-25,v1.4.14,Obsidian.1.4.14-arm64.exe,1
2023-12-25,v1.4.14,Obsidian-1.4.14-universal.dmg,4
2023-12-25,v1.4.14,Obsidian.1.4.14.exe,50
2023-12-25,v1.4.14,obsidian-1.4.14.tar.gz,1
2023-12-25,v1.4.14,obsidian_1.4.14_amd64.deb,1
2023-12-25,v1.4.13,Obsidian-1.4.13-universal.dmg,1
2023-12-25,v1.4.13,Obsidian.1.4.13.exe,4
2023-12-25,v1.4.13,Obsidian.1.4.13-allusers.exe,1
2023-12-25,v1.4.13,Obsidian.1.4.13-arm64.exe,1
2023-12-25,v1.4.12,Obsidian.1.4.12-32.exe,1
2023-12-25,v1.4.12,Obsidian.1.4.12-allusers.exe,1
2023-12-25,v1.4.12,Obsidian.1.4.12-arm64.exe,1
2023-12-25,v1.4.12,Obsidian.1.4.12.exe,3
2023-12-25,v1.4.12,Obsidian-1.4.12-universal.dmg,2
2023-12-25,v1.4.11,Obsidian.1.4.11.exe,1
