date,version,asset,downloads
2024-01-01,v00.09.17,Obsidian-0.9.17-arm64.AppImage,1
2024-01-01,v00.13.23,Obsidian.0.13.23.exe,1
2024-01-01,v00.14.02,Obsidian-0.14.2.AppImage,1
2024-01-01,v00.14.06,Obsidian.0.14.6.exe,1
2024-01-01,v00.14.06,obsidian_0.14.6_amd64.snap,1
2024-01-01,v00.15.09,Obsidian.0.15.9.exe,1
2024-01-01,v01.00.00,Obsidian.1.0.0.exe,2
2024-01-01,v01.00.03,Obsidian-1.0.3.AppImage,1
2024-01-01,v01.01.08,Obsidian.1.1.8.exe,1
2024-01-01,v01.01.15,Obsidian.1.1.15.exe,1
2024-01-01,v01.01.16,Obsidian.1.1.16-32.exe,1
2024-01-01,v01.01.16,Obsidian.1.1.16.exe,3
2024-01-01,v01.02.07,Obsidian.1.2.7.exe,1
2024-01-01,v01.02.08,obsidian-1.2.8.asar.gz,1
2024-01-01,v01.02.08,obsidian-1.2.8.tar.gz,1
2024-01-01,v01.03.04,Obsidian.1.3.4.exe,1
2024-01-01,v01.03.07,Obsidian-1.3.7.AppImage,1
2024-01-01,v01.03.07,Obsidian.1.3.7.exe,1
2024-01-01,v01.03.07,obsidian_1.3.7_amd64.deb,1
2024-01-01,v01.04.14,Obsidian.1.4.14.exe,2
2024-01-01,v01.04.16,Obsidian-1.4.14-universal.dmg,1
2024-01-01,v01.04.16,Obsidian-1.4.16-arm64.AppImage,1
2024-01-01,v01.04.16,Obsidian-1.4.16-universal.dmg,14
2024-01-01,v01.04.16,Obsidian-1.4.16.AppImage,1
2024-01-01,v01.04.16,Obsidian.1.4.16.exe,4
2024-01-01,v01.04.16,obsidian-1.4.16.tar.gz,16
2024-01-01,v01.04.16,obsidian_1.4.16_amd64.deb,3
2024-01-01,v01.04.16,obsidian_1.4.16_amd64.snap,1
2024-01-01,v01.05.03,Obsidian-1.5.3-arm64.AppImage,19
2024-01-01,v01.05.03,Obsidian-1.5.3-universal.dmg,973
2024-01-01,v01.05.03,Obsidian-1.5.3.AppImage,231
2024-01-01,v01.05.03,Obsidian.1.5.3-32.exe,70
2024-01-01,v01.05.03,Obsidian.1.5.3-allusers.exe,7
2024-01-01,v01.05.03,Obsidian.1.5.3-arm64.exe,57
2024-01-01,v01.05.03,Obsidian.1.5.3.exe,2199
2024-01-01,v01.05.03,obsidian-1.5.3.asar.gz,2117
2024-01-01,v01.05.03,obsidian-1.5.3.tar.gz,4
2024-01-01,v01.05.03,obsidian_1.5.3_amd64.deb,213
2024-01-01,v01.05.03,obsidian_1.5.3_amd64.snap,45
